Mode,control_type,control_hour,control_hour_label,case_hour,case_hour_label,MH_numerator,MH_denominator,strata_count,min_cluster_or,max_cluster_or,MH_OR,A,B,C,D,collapsed_paired_rows,collapsed_pooled_OR,abs_pct_diff_vs_collapsed
Cyclists,Daylight,9,09:00-09:59,5,05:00-05:59,23518.34524299595,13798.28645089763,3,0.5577558446300486,4.1286473240708155,1.7044395568020179,53051,58383,99877,186499,13542,1.6967512811770535,0.4531174197570601
Cyclists,Daylight,9,09:00-09:59,6,06:00-06:59,47716.91491723828,16810.43911345686,3,1.1723130090641938,5.1865287706703205,2.838528761514549,192960,64350,148460,137916,13542,2.785633237838518,1.8988689163213248
Cyclists,Daylight,9,09:00-09:59,17,17:00-17:59,27564.721862706396,22655.399465501203,3,0.8183477046459545,1.4337524287100547,1.216695468322274,483330,81538,237850,48526,13542,1.2093584287521293,0.6066885875774093
Cyclists,Daylight,9,09:00-09:59,18,18:00-18:59,43362.11679249239,34809.968752172266,3,0.777613122568462,1.4673130566629156,1.2456810030829513,253845,139233,170196,116180,13542,1.244538843189906,0.09177374408963633
Cyclists,Daylight,9,09:00-09:59,19,19:00-19:59,40845.135072804245,29952.568970278437,3,0.8825009703421348,1.7325717358276442,1.3636604964780816,136791,147848,115811,170565,13542,1.36264327544953,0.0746505741362245
Cyclists,Daylight,9,09:00-09:59,20,20:00-20:59,29929.75772186958,22178.97656547121,3,0.743593107829077,1.7082195135548135,1.349465230441004,72715,148139,76558,209818,13542,1.3452616550648568,0.3124726970638636
Cyclists,Daylight,10,10:00-10:59,5,05:00-05:59,18400.88542177969,16114.256286482603,3,0.41047971199100053,2.401916267337371,1.1419010033503736,53051,58383,100770,119128,13542,1.0742114058763437,6.301329245225117
Cyclists,Daylight,10,10:00-10:59,6,06:00-06:59,32216.354889057835,17841.42779218925,3,0.8546736128604411,2.977596144441855,1.805704972959672,192960,64350,139148,80750,13542,1.740140447128681,3.767772074902097
Cyclists,Daylight,10,10:00-10:59,17,17:00-17:59,17305.738358847808,19979.972662884335,3,0.641503269430576,0.9905984913869972,0.8661542561064577,483330,81538,191710,28188,13542,0.8715718466976751,0.6215885255752871
Cyclists,Daylight,10,10:00-10:59,18,18:00-18:59,28770.872296848403,34171.975022747545,3,0.5983145242208724,0.9303283227831595,0.8419435012959133,253845,139233,150426,69472,13542,0.8420023957282939,0.00699456826719196
Cyclists,Daylight,10,10:00-10:59,19,19:00-19:59,28901.79753656364,33187.06018144303,3,0.661322975314718,1.0225322331885982,0.8708754972133563,136791,147848,113551,106347,13542,0.8665155292847112,0.5031609684184402
Cyclists,Daylight,10,10:00-10:59,20,20:00-20:59,23570.85249258063,25703.923254340938,3,0.5754301544709859,1.0522018179707786,0.9170138059994407,72715,148139,77383,142515,13542,0.904002464421799,1.4393037729121447
Cyclists,Daylight,11,11:00-11:59,5,05:00-05:59,17765.00154187119,17911.45459116914,3,0.4004755424465524,1.9900837092666148,0.9918234977202718,53051,58383,122506,124491,13542,0.9233955197883952,7.410473244180081
Cyclists,Daylight,11,11:00-11:59,6,06:00-06:59,30178.621962178822,20113.158934462455,3,0.8218371342305556,2.395745035238305,1.5004416790278239,192960,64350,166833,80164,13542,1.4408413354521081,4.136495956163995
